	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	14	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	
FrontArc	1	15	2	1	1	1	1	1	1	2	1	1	1	1	1	1	
BackArc	1	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	
TopArc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
BottomArc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Bubble	1	1	1	1	1	11	1	1	1	1	1	3	1	1	1	1	
TopLine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
BottomLine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Triangle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
GreaterThan	1	1	1	1	1	1	1	1	1	6	1	3	1	1	1	1	
TouchUp	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	
Junk	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
LabelBoxOther	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_OR	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_AND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Wire	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	


