	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
FrontArc	1	14	2	1	1	2	1	1	1	4	1	1	1	1	1	1	
BackArc	3	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	
TopArc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
BottomArc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Bubble	1	1	1	1	1	12	1	1	1	1	1	1	1	1	1	1	
TopLine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	
BottomLine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Triangle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
GreaterThan	1	1	3	1	1	1	1	1	1	6	1	1	1	1	1	1	
TouchUp	2	1	1	1	1	3	1	1	1	1	2	1	1	1	1	2	
Junk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
LabelBoxOther	1	3	1	1	1	5	1	1	1	2	2	1	1	1	1	20	
Entire_OR	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_AND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Wire	3	8	3	1	1	7	1	1	1	1	3	1	1	1	1	74	


