	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	689	9	110	1	1	2	2	6	1	3	15	18	1	1	1	14	
FrontArc	3	540	70	2	1	16	4	7	5	121	3	1	1	6	1	16	
BackArc	144	14	420	5	1	2	1	7	1	9	10	8	1	1	1	19	
TopArc	1	1	2	143	5	1	22	3	1	2	7	1	1	1	1	25	
BottomArc	1	1	2	3	161	2	2	18	1	2	4	1	1	1	1	15	
Bubble	2	8	9	7	6	458	8	5	1	32	7	6	1	1	1	14	
TopLine	8	1	6	23	2	3	68	5	1	3	13	5	1	1	1	18	
BottomLine	5	1	8	1	18	1	5	77	1	1	11	2	1	1	1	21	
Triangle	1	22	2	1	1	18	1	1	27	17	1	1	1	7	4	2	
GreaterThan	10	45	31	1	1	1	1	1	2	73	1	2	1	1	1	1	
TouchUp	15	2	13	8	11	5	3	6	1	1	11	6	1	1	1	16	
Junk	5	3	4	5	2	3	4	3	1	3	3	2	1	1	1	12	
LabelBoxOther	2	38	5	9	31	27	31	12	4	23	7	2	1	1	10	126	
Entire_OR	1	9	1	1	1	7	1	1	6	1	1	1	1	25	6	1	
Entire_AND	1	13	3	1	1	4	1	1	3	2	1	2	1	7	16	1	
Wire	331	32	197	296	397	176	118	133	8	36	163	121	1	2	2	2123	


