	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	11	1	1	1	1	1	1	3	1	1	1	1	2	1	1	4	
FrontArc	1	9	2	1	1	1	2	5	1	1	1	1	7	1	1	1	
BackArc	4	1	6	1	1	1	1	4	1	1	1	1	1	1	1	4	
TopArc	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	
BottomArc	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	
Bubble	1	1	1	1	1	10	1	2	1	1	1	1	1	1	1	1	
TopLine	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	
BottomLine	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	
Triangle	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
GreaterThan	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	
TouchUp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Junk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
LabelBoxOther	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_OR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_AND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Wire	39	1	4	1	1	1	12	17	1	2	1	1	2	1	1	20	


