	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	20	1	14	1	1	1	1	1	1	1	3	1	1	1	1	1	
FrontArc	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
BackArc	1	1	15	1	1	1	1	1	1	1	1	1	1	1	1	1	
TopArc	1	1	1	6	2	1	7	1	1	1	1	1	1	1	1	1	
BottomArc	1	1	1	1	13	1	1	2	1	1	1	1	1	1	1	1	
Bubble	1	1	1	1	1	12	1	1	1	1	1	2	1	1	1	1	
TopLine	1	1	1	3	1	1	20	1	1	1	1	1	2	1	1	1	
BottomLine	1	1	1	1	2	1	1	16	1	1	7	1	1	1	1	1	
Triangle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
GreaterThan	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
TouchUp	2	1	1	1	1	1	2	2	1	1	3	1	1	1	1	1	
Junk	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	
LabelBoxOther	1	1	1	5	2	1	11	18	1	1	1	1	2	1	1	2	
Entire_OR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_AND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Wire	6	1	10	32	3	9	7	4	1	1	4	4	3	1	1	25	


