	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	3	1	11	1	1	1	2	1	1	2	3	1	1	1	1	3	
FrontArc	1	6	3	1	1	3	1	1	2	6	1	1	6	1	1	1	
BackArc	1	1	9	1	1	1	1	6	1	1	1	2	1	1	1	1	
TopArc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
BottomArc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Bubble	1	1	1	1	1	6	1	2	1	6	2	1	1	1	1	1	
TopLine	1	1	1	1	1	1	2	1	1	4	3	1	1	1	1	1	
BottomLine	1	1	2	1	1	1	1	6	1	1	1	1	1	1	1	1	
Triangle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
GreaterThan	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	
TouchUp	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	
Junk	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	
LabelBoxOther	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_OR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_AND	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
Wire	5	10	37	1	1	1	6	2	1	6	4	13	1	1	1	29	


