	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	348	7	453	1	1	2	11	4	1	17	10	12	1	1	1	4	
FrontArc	1	607	86	2	1	7	9	4	4	45	3	4	15	6	1	2	
BackArc	32	16	525	5	1	1	11	9	1	24	1	9	1	1	1	6	
TopArc	1	1	1	132	5	2	48	1	1	3	3	10	1	1	1	6	
BottomArc	1	1	1	5	150	2	1	39	1	1	1	3	2	1	1	6	
Bubble	1	8	8	8	8	441	15	11	1	34	2	5	21	1	1	1	
TopLine	6	1	8	22	3	5	79	2	1	7	9	11	2	1	1	1	
BottomLine	3	1	9	1	26	1	3	72	1	2	8	23	1	1	1	2	
Triangle	1	20	1	1	1	17	1	1	25	14	1	1	13	5	3	2	
GreaterThan	3	63	33	1	1	1	6	2	1	55	1	1	2	1	1	1	
TouchUp	11	2	13	7	7	3	8	13	1	9	9	11	2	1	1	3	
Junk	5	1	5	4	2	2	5	8	1	4	4	6	3	1	1	1	
LabelBoxOther	1	38	6	10	27	18	23	47	4	12	5	75	38	1	10	14	
Entire_OR	1	5	1	1	1	3	1	1	8	1	1	1	9	21	8	1	
Entire_AND	1	13	2	1	1	4	2	1	3	2	1	1	2	7	16	1	
Wire	164	43	311	295	375	241	205	272	8	81	93	462	109	1	2	1474	


